"Volume","Chapter","Paragraph","Line","Annotation_Num","Annotation_State","Annotation_Title","Annotation_Body"
"44","1","1","1","1","1","これは源氏の御族にも離れたまへりし後の大殿わたりにありける悪御達の","『弄花抄』は「凡此物語を紫式部か作とも見せす其意也紫式部か決したる語也古き事と見えたり紫式部が作せさる心也」。『玉の小櫛』は「上の語をうけて、此物語の作りぬしのいふ也。そは後の大殿わたりの女房は、紫上の御方の女房の、源氏君の御末々の人々の事を、かたりおきたるは、ひがことども多きを、我らが申す、此大殿わたりの事共は、みなまこと也とて、語りたる。二方ともに、年老いたる人々の、語りしことなれば、いづ方かまことならん、ともにさだかならぬ事なれども、まづ聞きたるまゝに、いづ方をもすてず、しるしおくぞといふ意にて、その紫上の御方の女房の語れるは、匂宮の巻、後の大殿わたりの女房のかたれるは、即ち此巻也。さて此物語は、すべてみな作り物がたりなるを、実に世に有し事を、人の語れるを聞て、書るごとく、ことさらおぼめきて、かくいへるも一つの興也」と指摘する。鬚黒大将家の物語。<BR>【悪御達の】－『集成』は「おしゃべりな女房たちで」。『完訳』は「いかがわしい女房たちの」と訳す。"
"44","1","1","1","2","1","源氏の御末々に","以下「ひがことにや」まで、鬚黒周辺の御達の噂。"
"44","1","1","2","3","1","尚侍の御腹に","玉鬘をさす。"
"44","1","1","2","4","1","いつしかといそぎ思しし御宮仕へも","姫君の入内の件。"
"44","1","1","3","5","1","領じたまふ所々のなど","大島本は「所々の」とある。『集成』『完本』は諸本に従って「所々」と「の」を削除する。『新大系』は底本のままとする。"
"44","1","1","4","6","1","御仲らひの","格助詞「の」は同格。"
"44","1","1","4","7","1","心おかれたまふこともありけるゆかりにや","語り手の挿入句。"
"44","1","1","4","8","1","誰れにも","『集成』が「ご兄弟のどなたとも」と注す。"
"44","1","1","5","9","1","六条院にはすべてなほ昔に変らず数まへきこえたまひて","「六条院」は源氏をさす。生前のこと。『集成』は「家族の一員として」と注す。"
"44","1","1","5","10","1","中宮の御次に","明石中宮の次に。"
"44","1","1","5","11","1","右の大殿などは","夕霧。"
"44","1","2","1","12","1","殿のおはせでのち","大島本は「殿の」とある。『集成』『完本』は諸本に従って「殿」と「の」を削除する。『新大系』は底本のままとする。"
"44","1","2","1","13","1","おのづからなり出でたまひぬべかめり","推量助動詞「めり」主観的推量のニュアンスは語り手のもの。"
"44","1","2","2","14","1","内裏にも","帝に対してもの意。"
"44","1","2","2","15","1","おとなびたまひぬらむ","推量助動詞「らむ」、作中人物の帝の視界外推量のニュアンス。"
"44","1","2","2","16","1","推し量らせたまひて","帝の動作についての最高尊敬。"
"44","1","2","2","17","1","中宮のいよいよ並びなく","『完訳』は「以下、玉鬘の心」と注す。"
"44","1","2","2","18","1","皆人無徳にものしたまふめる末に参りて","『集成』は「どなたも形なしといった有様でいらっしゃる末席に列なって」。『完訳』は「どなたもみなあってなきがごとくでいらっしゃる、その末席に連なって」と訳す。"
"44","1","2","2","19","1","遥かに目を側められたてまつらむも","『奥入』は「未だに君王に面を見ること得ること容されざるに已に楊妃に遥かに目を側められたり」（白氏文集、上陽白髪人）を指摘。"
"44","1","2","3","20","1","冷泉院よりは","大島本は「れせい院よりハ」とある。『集成』『完本』は諸本に従って「冷泉院より」と「は」を削除する。『新大系』は底本のままとする。"
"44","1","2","3","21","1","尚侍の君の昔本意なくて過ぐしたまうし辛さを","玉鬘が尚侍として冷泉院の在位中にに出仕したにもかかわらず鬚黒の北の方となってしまったことをさす。"
"44","1","2","4","22","1","今はまいて","以下「譲りたまへ」まで、冷泉院の詞。"
"44","1","2","4","23","1","さだ過ぎすさまじきありさまに","冷泉院自身の退位した有様をいう。"
"44","1","2","5","24","1","いかがはあるべきことならむ","以下「御覧じ直されまし」まで、玉鬘の心中。"
"44","1","3","1","25","1","三条殿の御腹にて","雲居雁所生の子。"
"44","1","3","2","26","1","いづ方につけても、もて離れたまはぬ御仲らひなれば","玉鬘の姫君と夕霧の子の蔵人少将は、玉鬘と夕霧は義理の姉弟、また玉鬘と雲居雁は異腹の姉妹の関係である。"
"44","1","3","2","27","1","尚侍の殿も","玉鬘。尚侍の殿という呼称。"
"44","1","3","3","28","1","母北の方","蔵人少将の母雲居雁。"
"44","1","3","3","29","1","いと軽びたるほどにはべるめれど、思し許す方もや","雲居雁の手紙文かと思えるが、後文により、夕霧の詞である。「母北の方の」云々と「大臣も」云々が並列の構文になっている。"
