"Volume","Chapter","Paragraph","Line","Annotation_Num","Annotation_State","Annotation_Title","Annotation_Body"
"2","1","1","1","1","1","光る源氏名のみことことしう","以下「語り伝へけむ人のもの言ひさがなさよ」まで、物語筆記編集者のそれまでの物語伝承者に対する批評。「光る源氏」という呼称は、これが初見。これより先には「桐壺」巻に「光る君」と二度あった。ところで、この下に「と」という引用の格助詞があるべきところ、省筆されているのは、その表現性を重視すべきであろう。別本の陽明文庫本に「ひかる源氏の名のみ」（「光る源氏」の名前だけ）というように格助詞「の」を伴う異本があるが、別のニュアンスが出て来る。ここは、巻頭、「光源氏」とずばり提示して、読者をびっくりさせ、しばし間を置き、改めて享受者に、その経緯を語っていこうとした筆運びである。文章上無駄を省いて格調高く語り出すことにも成功した。それにしても、ここに物語られる内容は、「桐壺」巻の主人公像とはあまりにかけ離れた意外な一面であり、享受者をして驚かせる。この物語の成立の問題や表現性を考えさせる。参考、和辻哲郎「源氏物語について」（『日本精神史研究』所収、全集第四巻）。<BR>【ことことしう】－形容詞「ことことし」は清音（日葡辞書）。『集成』『新大系』は清音で読むが、『古典セレクション』は濁音「ことごとしう」と濁音で読んでいる。下文に係らない。連用中止法で、逆接の意味で続く。本居宣長が「此下にてもじをそへて心得べし」（玉の小櫛、五）と指摘する。"
"2","1","1","1","2","1","言ひ消たれたまふ","「光」の縁語で「言ひ消つ」と表現した（島津久基『講話』）。"
"2","1","1","1","3","1","多かなるに","形容詞「多し」の連体形の活用語尾「る」が「ん」と撥音化されて無表記されたという説と、終止形「多かり」の「り」がナ行音の前で撥音化して無表記になったという説とがある。「なり」は、伝聞推定の助動詞。「に」は、接続助詞。下文の「いとど」との文脈から添加の意である。別本の陽明文庫本の「おほかめるに」（多いように見えるのに）は、語り手の視覚による推量となる。『全書』『集成』『完訳』に「多いそうだのに」「多いようだのに」「多いということだのに」とある。聞く人は物語享受者であるともに、源氏自身もまた聞き知って、「名をや流さむと忍びたまひける」という文脈。なお、『対訳』『大系』は「たくさんあるのに」「多くあるのに」という「なり」のニュアンスを訳出せず、『評釈』は「多いのだのに」という「なり」を断定の意味で訳出する。"
"2","1","1","1","4","1","いとどかかる好きごとどもを","以下「名をや流さむ」まで全体を、源氏の自戒の念とも解釈しうる。その場合、「いとど」は「流さむ」に係る。また、「かかる好きごとども」とは、源氏が心中密かに思っている内容をさす。地の文とすれば、「いとど」は「聞き伝へて」に係り、物語伝承者の行為をいうことになる。「かかる好きごとども」は世の中に知られた源氏の色恋沙汰をさす。それは、いまだ語られていないが、物語伝承者と物語筆記編集者をそれを知っているので、このような語り方をしたことになる。両方に解釈しうるところは、両方に解釈して、その幅と含みをもって読んでいく。いずれにしても、物語享受者に期待感を抱かせる表現である。"
"2","1","1","1","5","1","軽びたる名をや流さむ","源氏の心。「や」（係助詞、疑問）、「む」（推量の助動詞）の主体者は源氏。それを、物語筆記編集者が間接的に伝える。"
"2","1","1","1","6","1","語り伝へけむ人","物語伝承者。「けむ」は過去推量の助動詞。伝承を伝え聞いての想像。"
"2","1","1","1","7","1","もの言ひさがなさよ","物語筆記編集者の物語伝承者のおしゃべりに対する非難。古注『河海抄』他に「ここにしも何匂ふらむ女郎花人の物言ひさがにくき世に」（拾遺集、雑秋、一〇九八、僧正遍昭）の和歌が指摘される。"
"2","1","1","2","8","1","さるはいといたく","「笑はれたまひけむかし」まで、物語筆記編集者の主人公光る源氏に対する批評。"
"2","1","1","2","9","1","交野少将","交野少将は昔物語に色好みの人物として有名。しかし、当時の物語享受者は、物語中の人物も歴史上の人物も厳密に区別していなかった。"
"2","1","1","2","10","1","笑はれたまひけむかし","物語筆記編集者がこの物語の主人公の行状に対して想像し（「けむ」）、かつ物語享受者に対し、同感を求め念を押した（「かし」）表現。"
"2","1","1","3","11","1","まだ中将などにものしたまひし時は","源氏が中将であることが初めて紹介される。中将は、従四位下相当官（定員、左右各一名）。「桐壺」巻では元服後でも「君」とあって、特に官職名で呼ばれていない。慣例によれば侍従となったか。「まだ」という語り方は、後の大将の物語を前提にした表現。古注『弄花抄』以下の注釈書に「まだ中将などに」から「うちまじりけり」までを草子地とする指摘（『孟津抄』）があるが、「まだ」「よう」「さしも」「あながちに」「あやにくにて」という表現には、物語筆記編集者の物語享受者を想定した語り方や物語の主人公に対する主観的判断が感じられなくもないが、物語伝承者と物語筆記編集者とを峻別することは難しい。「し」は、過去助動詞「き」（連体形）で、ここから、「けり」に代わって「き」が使われ出す。「ありしかど」にもある。物語筆記編集者の実際見聞した内容というニュアンスに近くなる。いよいよ物語の本題に入る。地の文（物語伝承者の話をそのまま筆記編集した文章）と考えてよい。"
"2","1","1","3","12","1","内裏","宮中。そこには父桐壺帝と憧れの継母藤壺がいる。"
"2","1","1","3","13","1","大殿","左大臣邸。そこには正妻の葵の上がいる。当時の結婚形態は夫が妻の家へ通うという通い婚形態であった。"
"2","1","1","3","14","1","忍ぶの乱れや","底本の明融臨模本には朱合点有り。「春日野の若紫の摺衣忍の乱れ限り知られず」（『伊勢物語』初段）の語句を引用。『源氏釈』が初指摘。『伊勢物語』初段の元服したばかりの色好みの主人公の世界を踏まえる。"
"2","1","1","3","15","1","癖","「さしもあだめき目馴れたるうちつけの好き好きしさなどは好ましからぬ御本性」と「まれにはあながちに引き違へ心尽くしなることを御心に思しとどむる癖」の相背反する性格づけが好色人の伝統を継承するこの物語の主人公固有性をかたどっている。参考、秋山虔「好色人と生活者」（『王朝の文学空間』所収）。"
"2","1","1","3","16","1","あやにくにて","「おりもおりというときに望ましからぬ方向に物事が起こって迷惑する状態」「おり悪く困ったことに」（小学館古語大辞典）。語り手の感想が言い込められている。挿入句。"
"2","1","1","3","17","1","うち混じりける","過去の助動詞「けり」で、序段を語り上げる。"
"2","1","2","1","18","1","長雨晴れ間なきころ","物語が具体的に展開し始める。時は夏の五月雨の季節、宮中の物忌みも多く、外出するのも億劫になる折柄、何かと気晴しを考えたくなるころ。物語の主題と季節的背景が有効に働いている。"
"2","1","2","1","19","1","調じ出でたまひつつ","接続助詞「つつ」は上に「よろづの」「何くれと」があるので、「調じ出づ」という動作の反復の意を表すと共に下文の御息子の君たちの「勤めたまふ」という動作も平行して行われている様子を表す。"
"2","1","2","1","20","1","この御宿直所の","源氏の御宿直所、淑景舎（桐壺）。源氏を「この」という近称で呼称する。なお、青表紙本の大島本、伝冷泉為秀本には「御とのゐ所に」（御宿直所で）とある。その他の青表紙本、河内本、別本はすべて「--の」とある。『全集』『完訳』『新大系』が「に」とある本文を採用する。"
