"Volume","Chapter","Paragraph","Line","Annotation_Num","Annotation_State","Annotation_Title","Annotation_Body"
"50","1","1","1","1","1","筑波山を分け見まほしき御心はありながら端山の繁りまであながちに思ひ入らむも","『異本紫明抄』は「筑波山端山繁山茂けれど思ひ入るには障らざりけり」（新古今集恋一、一〇一三、源重之）を指摘。"
"50","1","1","1","2","1","人聞き軽々しう","薫は右大将兼権大納言。それが受領常陸介の娘に恋するのは憚られる。『完訳』は「東国の受領の娘が相手では、と憚られる気持。大君の形代としてのみ関心」と注す。"
"50","1","1","2","3","1","のたまひしさまなど","主語は薫。"
"50","1","1","2","4","1","まめやかに御心とまるべきこととも思はねば","主語は浮舟の母北の方。以下、母北の方の心中に即した叙述。"
"50","1","1","2","5","1","人の御ほどのただ今世にありがたげなるをも","薫の社会的地位。"
"50","1","1","2","6","1","数ならましかば","娘浮舟が人並みの貴族の娘であったら、の意。"
"50","1","1","3","7","1","守の子どもは","常陸介。長官は太守、親王が任命され赴任しない。介が赴任して実質上の長官なので「守」と呼称される。"
"50","1","1","3","8","1","母亡くなり","先妻。"
"50","1","1","3","9","1","この腹にも","浮舟の母北の方。後妻。"
"50","1","1","3","10","1","さまざまにこの扱ひをしつつ","主語は常陸介。"
"50","1","1","3","11","1","異人と思ひ隔てたる心のありければ","浮舟を他の自分の子とは分け隔てしていた。"
"50","1","1","3","12","1","いとつらきものに守をも恨みつつ","主語は北の方。"
"50","1","1","3","13","1","いかでひきすぐれて","以下「見えにしがな」まで、北の方の心中。"
"50","1","1","4","14","1","さま容貌の","浮舟の容姿容貌。"
"50","1","1","4","15","2","ありぬべくは--なやまじ","大島本は「なやまし」とある。『集成』『完本』は諸本に従って「なやままし」と「ま」を補訂する。『新大系』は底本のまま「なやまじ」とする。反語表現。意志の打消し。"
"50","1","1","4","16","1","同じごと","他の夫の実の娘と同様に。"
