"Volume","Chapter","Paragraph","Line","Annotation_Num","Annotation_State","Annotation_Title","Annotation_Body"
"5","1","1","1","1","1","瘧病にわづらひたまひて","大島本「わらハやミに・わ（わ＋つ&lt;朱&gt;）らひ給て」とある。今から見れば明らかな「つ」の脱字であるが、大島本「若紫」にはもう１例「わらハやみにわ（わ＋つ&lt;朱墨&gt;）らひ侍る越」（12丁表２行）と「つ」の脱字がある。大島本「若紫」の親本には「わらひたまひて」とあったものか。それを忠実に書写しながらも「つ」の誤脱と考えて朱筆で後から補入したものであろう。大島本「若紫」の親本の性格と朱筆訂正を考える上で重要な事例となる。主語は源氏。以下、途中会話文を挿入して、「まだ暁におはす」まで、くどくどと経緯を述べた冒頭文である。空蝉や夕顔と会った翌年の春三月晦。"
"5","1","1","1","2","1","参らせたまへど","「参ら」未然形（して差し上げる、謙譲の意を含む動詞）、使役の助動詞「せ」連用形、尊敬の補助動詞「たまへ」已然形。受手（源氏）尊敬で、おさせなさるが、の意になる。"
"5","1","1","1","3","1","ある人","以下会話文が挿入され、「など聞こゆれば」に係る。"
"5","1","1","2","4","1","北山になむ、なにがし寺といふ所に","以下「試みさせたまはめ」まで、「ある人」の言葉。実際は「何々寺」と実名を言ったものを、語り手がおぼめかして表現したもの。古来鞍馬寺や何々寺かとモデルが詮索されてきたが、漠然と北山方面にある行者が住んでいる寺というぐらいの意。わざと読む人それぞれが勝手にイメージしたり想定したりするように配慮した語り方。係助詞「なむ」は「はべる」連体形に係る、係結びの法則。"
"5","1","1","2","5","1","まじなひわづらひしを","過去の助動詞「し」連体形は「ある人」の身近な体験を語るニュアンス。"
"5","1","1","2","6","1","あまたはべりき","過去の助動詞「き」終止形も同じく身近な体験を語るニュアンス。"
"5","1","1","2","7","1","うたてはべるを","丁寧の補助動詞「はべる」連体形＋接続助詞「を」順接、原因理由を表す。やっかいでございますから。"
"5","1","1","2","8","1","とくこそ試みさせたまはめ","係助詞「こそ」は推量の助動詞「め」已然形、適当の意に係る、係結びの法則。尊敬の助動詞「させ」連用形＋尊敬の補助動詞「たまは」未然形、二重敬語。会話文中の用例。"
"5","1","1","3","9","1","召しに遣はしたるに","主語は源氏にもどる。源氏が「かしこき行ひ人」を。完了の助動詞「たる」連体形＋接続助詞「に」弱い順接。--すると。"
"5","1","1","3","10","1","老いかがまりて、室の外にもまかでず","「かしこき行ひ人」の言葉を、使者が伝える。<BR>【まかでず】－「まかづ」は「出る」の謙譲語。外出いたしません、というニュアンス。"
